algo,accurency,percision,recall,f1_score,true_positif,false_positif,false_negatif,true_negatif
ComplementNB,54.421768707483,67.0120320855615,54.71121806738245,44.55952716014636,71,2,65,9
MultinomialNB,54.421768707483,67.0120320855615,54.71121806738245,44.55952716014636,71,2,65,9
BernoulliNB,56.4625850340136,72.5,56.74750092558312,47.40608228980322,72,1,63,11
GaussianNB,63.26530612244898,64.89690721649484,63.37467604590892,62.34345351043643,58,15,39,35
CategoricalNB,82.31292517006803,82.68799102132436,82.34912995186967,82.27272727272728,64,9,17,57
LogisticRegression,75.51020408163265,75.81613508442777,75.47204738985562,75.4180602006689,51,22,14,60
knn,77.55102040816327,77.67558528428094,77.57312106627174,77.53438614365766,59,14,19,55
DecisionTreeClassifier,85.71428571428571,85.77922077922078,85.69974083672713,85.70370027323669,61,12,9,65
svm.SVC_kernel=rbf,92.51700680272108,92.52777777777779,92.51203258052574,92.5156213839389,67,6,5,69
SVM.NuSVC,75.51020408163265,81.52323976069948,75.36097741577194,74.21052631578947,39,34,2,72
BaggingClassifier,91.15646258503402,91.16068122917437,91.16068122917437,91.15646258503402,67,6,7,67
RandomForestClassifier,92.51700680272108,92.59740259740259,92.5027767493521,92.5114620478859,66,7,4,70
AdaBoostClassifier,92.51700680272108,92.52777777777779,92.51203258052574,92.5156213839389,67,6,5,69
